,F1,FC3,FC1,AFz,Fz,F2,FCz,condition,group
0,-0.19315697005700416,-0.09321666632271913,-0.13933217721140786,-0.01435134962669899,-0.48200679363857096,-0.6122959343162084,-0.43207241591442663,1,0
1,0.8878938786859968,1.5932476216026583,1.0071315835622843,0.26808755025205794,0.6786807672961445,1.0144177708595157,1.029641812406624,1,0
2,0.2541173199186016,0.3904286274428875,0.20419191623961613,-0.012283836385680607,0.6337210385448947,0.6766591600691543,0.36066716048762726,1,0
3,0.41513833942136324,0.6286329460483866,1.080356968882134,0.5492310637483249,0.6586041370402342,0.43092548053919905,0.7698647851251083,1,0
4,-0.6083269082498071,-0.1928238782150497,-0.7752447016490973,-0.3645587390721716,-0.6938391509814759,-0.5166474217070385,-0.8170769984055442,1,0
5,0.8201461127191374,0.8148599101608988,0.6926534297201276,0.6283198264309872,0.8890848459632499,1.3268623485655593,1.248477734115077,1,0
6,0.0677224869497074,0.6346657861609264,0.16441612595233926,0.31837151426201266,0.36416138307055085,0.24745615657954323,0.5429373140324667,1,0
7,0.2967946206251501,0.6129902112525883,0.30776874963465256,0.13337374768681,0.5006240956822516,0.21024427276381014,0.2857402920239545,1,0
8,0.11986677957960988,0.2949075125024936,0.021349285217877104,-0.23968476804288177,0.01114678357852123,-0.25978143680104115,-0.132584650537972,1,0
9,-0.1448866868056169,0.7382077580810479,0.6478764378454565,0.21686554782719664,0.6231269367148351,0.5735210620665896,0.4471758044468996,1,0
10,-0.2277955433092761,0.010366579303987763,0.28531530302735075,-0.03956990619615856,-0.18566380803934593,-0.251953735542357,-0.2317610576138404,1,0
11,0.017360365029007625,0.32758253021579276,0.3644382091801277,0.19466530534107584,0.03296218787453521,0.15280285293235762,0.14642000728176668,1,0
12,-0.7941340040699216,-0.680513995226008,-0.11101368510616169,-0.8497607044859934,-0.5382561338359219,-0.45026188030698366,-0.7419869179294674,1,0
13,0.27256468268513734,-0.07260732883449934,-0.014984119561193193,0.07391359836640933,0.3801332646103595,0.39576143054908725,0.41735822525768657,1,0
